program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.7954545454545454,1.5,1.8323863636363635,1.3153409090909094,1.3522727272727273,1.5880681818181819,1.5397727272727273,1.09375
bv,19,2.0,2.2777777777777777,1.5833333333333333,2.2037037037037037,1.5555555555555556,1.6388888888888888,2.2222222222222223,1.2222222222222223
gcm,13,1.3431372549019607,1.0686274509803932,1.2294117647058824,0.9125816993464069,1.0509803921568628,0.9187908496732039,1.0579131781007076,0.718681436604972
ising,26,3.0,2.916666666666667,2.625,2.2916666666666665,2.625,2.270833333333333,2.7963375552647673,2.057492772972561
knn,25,1.4838709677419355,1.3548387096774193,1.6330645161290323,1.0900537634408602,1.2419354838709677,1.3064516129032258,1.5161290322580645,0.9193548387096774
multiplier,15,2.2330827067669174,1.8045112781954886,1.894736842105263,1.5676691729323309,1.7481203007518797,1.6578947368421053,2.011278195488722,1.2105263157894737
qec9xz,17,3.6666666666666665,3.5833333333333335,3.25,3.027777777777778,2.625,2.8958333333333335,3.5,2.2916666666666665
qft,18,2.4242424242424243,2.3383838383838382,2.1931818181818183,1.8750000000000024,1.9772727272727273,1.8459595959595965,2.1084946141098486,1.075665098248106
qpeexact,16,2.9651162790697674,2.6414728682170527,2.2761627906976742,1.8003875968992247,2.3255813953488373,1.9883720930232556,2.372927643531977,1.1635060864825582
qram,20,2.2051282051282053,1.8846153846153846,2.0384615384615383,1.6997863247863252,1.6153846153846154,1.8012820512820513,2.0448717948717947,1.2884615384615385
sat,11,1.7745098039215685,1.625,1.6801470588235294,1.3280228758169932,1.3897058823529411,1.3566176470588236,1.625,1.0698529411764706
swap_test,25,1.596774193548387,1.5,1.5483870967741935,1.1317204301075268,1.3064516129032258,1.2540322580645162,1.3387096774193548,0.9556451612903226
wstate,27,1.7142857142857142,1.5714285714285714,1.8482142857142858,1.4642857142857142,1.5357142857142858,1.4196428571428572,1.5714285714285714,1.375
