program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,2.8181818181818183,2.664772727272727,2.6505681818181817,2.664772727272727,1.71875,2.1429924242424234,2.147727272727273,2.1931818181818183
bv,19,2.8333333333333335,2.8333333333333335,2.625,2.8333333333333335,1.75,2.259259259259259,2.1944444444444446,2.2916666666666665
gcm,13,1.6431372549019607,1.3130718954248364,1.5,1.2999700760985258,0.8954716269058587,1.1006535947712432,1.272549019607843,1.1156862745098044
ising,26,1.0,0.4583333333333333,0.75,0.4231851155116666,0.4231851155116666,0.4583333333333333,0.75,0.4583333333333333
knn,25,3.161290322580645,2.903225806451613,2.7580645161290325,2.903225806451613,1.75,2.2661290322580645,2.3225806451612905,2.3306451612903225
multiplier,15,2.330827067669173,2.2330827067669174,2.2781954887218046,2.2330827067669174,1.4887218045112782,1.8245614035087707,1.8195488721804511,1.8646616541353382
qec9xz,17,5.333333333333333,5.333333333333333,4.375,5.333333333333333,2.9166666666666665,3.9999999999999996,3.75,4.125
qft,18,3.0303030303030303,2.212121212121212,2.272727272727273,1.941524621212121,1.0359848484848484,1.707070707070709,2.121212121212121,1.7575757575757585
qpeexact,16,4.0,3.3197674418604652,3.0,3.1326201682867008,1.6332723928052326,2.4883720930232514,2.75,2.5784883720930214
qram,20,2.9358974358974357,2.801282051282051,2.644230769230769,2.801282051282051,1.7179487179487178,2.2051282051282044,2.1923076923076925,2.266025641025641
sat,11,2.2794117647058822,2.1200980392156863,2.1875,2.1200980392156863,1.4031862745098038,1.7267156862745103,1.767156862745098,1.767156862745098
swap_test,25,3.4193548387096775,3.1451612903225805,2.975806451612903,3.1451612903225805,1.8911290322580645,2.450268817204301,2.5,2.5201612903225805
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
